,article,name,image,lat,lon,description,image_url,address
90,Alfred E. Smith House,Alfred E. Smith House,Alfred-e-smith-house.jpg,40.713208,-73.997962,"Home of four time New York State governor, Alfred E. Smith (and later presidential candidate) from 1907 to 1923",https://upload.wikimedia.org/wikipedia/commons/d/d3/Alfred-e-smith-house.jpg,"22 Chatham Square, New York, NY 10038, USA"
91,SoHo-Cast Iron Historic District,SoHo-Cast Iron Historic District,NYC SoHo Green Street.jpg,40.724315,-74.001292,Believed to be the largest existing collection of late 19th-century cast iron facades in the world,https://upload.wikimedia.org/wikipedia/commons/9/9e/NYC_SoHo_Green_Street.jpg,"145 Spring St, New York, NY 10012, USA"
92,280 Broadway,A. T. Stewart Company Store,280-broadway.jpg,40.71425,-74.006111,Site of the first American department store (now known as the '''''New York Sun'' building'''),https://upload.wikimedia.org/wikipedia/commons/b/bb/280-broadway.jpg,"278 Broadway, New York, NY 10007, USA"
93,Stonewall Inn,Stonewall,Stonewall Inn 2012 with gay-pride flags and banner.jpg,40.733797,-74.0021,Site of 1969 Stonewall riots which began gay rights movement,https://upload.wikimedia.org/wikipedia/commons/b/b2/Stonewall_Inn_2012_with_gay-pride_flags_and_banner.jpg,"51 Stonewall Pl, New York, NY 10014, USA"
94,St. Bartholomew's Episcopal Church (Manhattan),St. Bartholomew's Church and Community House,St Bartholomew Church.JPG ,40.757222,-73.973611,"A pivotal example of the work of Bertram Grosvenor Goodhue and an outstanding example of early 20th-century ecclesiastical architecture.<ref>{{cite news|title=Secretary Jewell, Director Jarvis Announce 10 New National Historic Landmarks Illustrating America's Diverse History, Culture|url=https://www.doi.gov/pressreleases/secretary-jewell-director-jarvis-announce-10-new-national-historic-landmarks|access-date=November 3, 2016|publisher=Department of the Interior|date=November 2, 2016}}</ref>",https://upload.wikimedia.org/wikipedia/commons/f/fc/St_Bartholomew_Church.JPG,"51 E 50th St, New York, NY 10022, USA"
95,Surrogate's Courthouse,Surrogate's Court,NYC Surrogate's Courthouse.jpg,40.713511,-74.004589,Probate Courthouse across from NYC's city hall,https://upload.wikimedia.org/wikipedia/commons/b/b0/NYC_Surrogate%27s_Courthouse.jpg,"25 Chambers St, New York, NY 10007, USA"
96,Jefferson Market Library,Third Judicial District Courthouse,Jefferson market.jpg,40.734722,-73.999167,"Originally built as the Third Judicial District Courthouse; faced with demolition, public outcry led to its reuse as a branch of the New York Public Library",https://upload.wikimedia.org/wikipedia/commons/d/da/Jefferson_market.jpg,"431 6th Ave, New York, NY 10011, USA"
97,Tiffany and Company Building,Tiffany and Company Building,WTM3 NYU FC 2 0075.jpg,40.75,-73.981306,Served as the home of Tiffany and Company from 1905 through 1940,https://upload.wikimedia.org/wikipedia/commons/7/7c/WTM3_NYU_FC_2_0075.jpg,"241 Madison Ave, New York, NY 10016, USA"
98,Samuel J. Tilden House,Samuel J. Tilden House,National-arts-club.jpg,40.7375,-73.987222,"Home of Samuel J. Tilden, former New York State governor and loser of the bitter 1876 presidential election",https://upload.wikimedia.org/wikipedia/commons/7/7f/National-arts-club.jpg,"113 E 19th St, New York, NY 10003, USA"
99,The Town Hall (New York City),The Town Hall,Ny-town-hall.jpg,40.755986,-73.984712,"""America's Town Meetings of the Air"" radio programs from here in the 1930s created public-affairs media.",https://upload.wikimedia.org/wikipedia/commons/7/76/Ny-town-hall.jpg,"118 W 43rd St, New York, NY 10036, USA"
100,Triangle Shirtwaist Factory,Triangle Shirtwaist Factory,Asch-brown-triangle-shirtwaist-fire-building.JPG,40.730011,-73.995817,"Site of the Triangle Shirtwaist Factory fire, one of the worst industrial disasters in the US, which led to many workplace reforms",https://upload.wikimedia.org/wikipedia/commons/f/f4/Asch-brown-triangle-shirtwaist-fire-building.JPG,"36 Washington Pl, New York, NY 10003, USA"
101,"Trinity Church, New York",Trinity Church,Trinity Church NYC 004b.JPG,40.708056,-74.012222,Historic church which looks down Wall Street,https://upload.wikimedia.org/wikipedia/commons/2/2d/Trinity_Church_NYC_004b.JPG,"75 Broadway, New York, NY 10006, USA"
102,Tweed Courthouse,Old New York County Courthouse,Tweed Courthouse north main facade 118443pv.jpg,40.713167,-74.006,"Historic courthouse, more commonly known as the Tweed Courthouse, connected to Tammany Hall, now used by NYC's Department of Education",https://upload.wikimedia.org/wikipedia/commons/4/48/Tweed_Courthouse_north_main_facade_118443pv.jpg,"52 Chambers St, New York, NY 10007, USA"
103,Union Square (New York City),Union Square,Union Square New York by David Shankbone.jpg,40.735556,-73.990556,The political heart of Manhattan; many protests begin or end here,https://upload.wikimedia.org/wikipedia/commons/8/89/Union_Square_New_York_by_David_Shankbone.jpg,"873 Broadway, New York, NY 10003, USA"
104,United Charities Building,United Charities Building,United-charities-building.jpg,40.739389,-73.986389,Built in 1893 by a wealthy businessman in order to provide his favorite charities a low cost location for their operations,https://upload.wikimedia.org/wikipedia/commons/f/fc/United-charities-building.jpg,"105 E 22nd St, New York, NY 10010, USA"
105,United Workers Cooperatives,United Workers Cooperatives,"United Workers Cooperatives, 2700-2870 Bronx Park E, Bronx County, New York.JPG",40.866389,-73.869722,"Built in 1926 by the United Workers' Association to improve the living standards of its members, many of whom lived in squalid conditions in the tenements of the Lower East Side",https://upload.wikimedia.org/wikipedia/commons/4/40/United_Workers_Cooperatives%2C_2700-2870_Bronx_Park_E%2C_Bronx_County%2C_New_York.JPG,"628 Britton St, Bronx, NY 10467, USA"
106,Alexander Hamilton U.S. Custom House,U.S. Customhouse,Us-customhouse.jpg,40.704294,-74.013773,Cass Gilbert designed Customhouse for New York Harbor; now part of the Smithsonian Institution,https://upload.wikimedia.org/wikipedia/commons/5/52/Us-customhouse.jpg,"1 Bowling Green, New York, NY 10004, USA"
107,University Heights Campus (Bronx Community College of the City University of New York),University Heights Campus (Bronx Community College of the City University of New York),NYU library2 crop.jpg,40.857778,-73.912222,Collection of Beaux Arts architecture|Beaux Arts buildings by Stanford White is one of the best examples of that style anywhere.,https://upload.wikimedia.org/wikipedia/commons/9/94/NYU_library2_crop.jpg,"Roscoe Brown Student Center, Bronx, NY 10453, USA"
108,Van Cortlandt House Museum,Van Cortlandt House,Van Cortlandt Mansion.jpg,40.89,-73.896389,Mansion for the Van Cortlandt family built in 1748 and used during the American Revolution,https://upload.wikimedia.org/wikipedia/commons/6/61/Van_Cortlandt_Mansion.jpg,"205 W 242nd St #4002, Bronx, NY 10471, USA"
109,Voorlezer's House,Voorlezer's House,Vorleezer-house.jpg,40.571417,-74.1475,Oldest known surviving schoolhouse in America; owned by the Staten Island historical society,https://upload.wikimedia.org/wikipedia/commons/4/4d/Vorleezer-house.jpg,"Arthur Kill Rd/Center St, Staten Island, NY 10306, USA"
110,Wards Point Archeological Site,Wards Point Archeological Site,Vicinity-of-wards-point-site.JPG,40.498889,-74.251944,Archaeological site in Conference House Park containing prehistoric remains.,https://upload.wikimedia.org/wikipedia/commons/3/3b/Vicinity-of-wards-point-site.JPG,"Conference House Park, 298 Satterlee St, Staten Island, NY 10307, USA"
111,Woodlawn Cemetery (Bronx),Woodlawn Cemetery,Woodlawn Cemetery Bronx 008.jpg,40.889167,-73.873333,Illustrates transition from rural cemetery to 20th-century styles; notable dead buried here include Robert Moses and R.H. Macy,https://upload.wikimedia.org/wikipedia/commons/5/59/Woodlawn_Cemetery_Bronx_008.jpg,"Central Ave, Bronx, NY 10470, USA"
112,Woolworth Building,Woolworth Building,View of Woolworth Building fixed.jpg,40.712222,-74.008056,One of the oldest and most famous�skyscrapers in New York City; one of the tallest buildings in the New York City,https://upload.wikimedia.org/wikipedia/commons/2/27/View_of_Woolworth_Building_fixed.jpg,"230 Broadway, New York, NY 10007, USA"
113,Wyckoff House,Wyckoff House,Wyckoff-house.jpg,40.644342,-73.920777,Oldest surviving Dutch saltbox frame house in America,https://upload.wikimedia.org/wikipedia/commons/4/45/Wyckoff-house.jpg,"The Wyckoff House Museum, 5816 Clarendon Rd, Brooklyn, NY 11203, USA"
114,Wyckoff-Bennett Homestead,Wyckoff-Bennett Homestead,Wyckoff-bennett-homestead.jpg,40.610851,-73.951265,Housed Hessian soldiers during the American Revolution,https://upload.wikimedia.org/wikipedia/commons/e/ea/Wyckoff-bennett-homestead.jpg,"1669 E 22nd St, Brooklyn, NY 11229, USA"
